timestamp,open,high,low,close,volume
2022-02-15 19:10:00,129.7000,129.7000,129.7000,129.7000,200
2022-02-15 18:50:00,129.9200,129.9200,129.8000,129.8000,820
2022-02-15 18:45:00,129.9000,129.9000,129.9000,129.9000,240
2022-02-15 17:20:00,129.9399,129.9399,129.9399,129.9399,100
2022-02-15 17:10:00,129.9500,129.9500,129.9500,129.9500,300
2022-02-15 17:05:00,129.9400,129.9500,129.9400,129.9500,401
2022-02-15 17:00:00,130.0499,130.0499,129.9500,129.9500,949
2022-02-15 16:55:00,130.0499,130.0499,130.0499,130.0499,600
2022-02-15 16:50:00,130.0500,130.0500,130.0000,130.0000,1201
2022-02-15 16:40:00,129.9499,129.9500,129.9499,129.9500,1096
2022-02-15 16:30:00,129.8500,129.8500,129.8500,129.8500,712
2022-02-15 16:20:00,129.9500,129.9500,129.9500,129.9500,268
2022-02-15 16:15:00,129.9400,130.0000,129.9400,130.0000,3690
2022-02-15 16:10:00,130.1400,130.1400,130.1400,130.1400,500
2022-02-15 16:05:00,129.9400,129.9400,129.9400,129.9400,69081
2022-02-15 16:00:00,129.8350,130.0200,129.7600,129.9900,226525
2022-02-15 15:55:00,129.9200,130.2100,129.8200,129.8350,162722
2022-02-15 15:50:00,129.9800,130.0300,129.7800,129.9000,115193
2022-02-15 15:45:00,129.9200,130.0400,129.7600,129.9900,71565
2022-02-15 15:40:00,130.0900,130.1900,129.8600,129.9300,77712
2022-02-15 15:35:00,130.2400,130.3100,130.0600,130.1000,98532
2022-02-15 15:30:00,130.0900,130.2600,130.0700,130.2400,43957
2022-02-15 15:25:00,130.1107,130.1900,130.0400,130.0900,29530
2022-02-15 15:20:00,130.0220,130.1100,129.9200,130.1100,41927
2022-02-15 15:15:00,129.8850,130.0900,129.8500,130.0100,70949
2022-02-15 15:10:00,129.8400,129.9000,129.7500,129.8800,51807
2022-02-15 15:05:00,129.8600,129.9400,129.8200,129.8400,44655
2022-02-15 15:00:00,129.7700,129.9400,129.7600,129.8900,41711
2022-02-15 14:55:00,129.6500,129.7740,129.6100,129.7600,56452
2022-02-15 14:50:00,129.9650,130.0000,129.6100,129.6650,77956
2022-02-15 14:45:00,130.0600,130.1000,129.9250,129.9800,86624
2022-02-15 14:40:00,130.0598,130.1510,130.0450,130.0500,27424
2022-02-15 14:35:00,130.0660,130.1200,129.9800,130.0350,57902
2022-02-15 14:30:00,129.9795,130.1096,129.9400,130.0600,52034
2022-02-15 14:25:00,130.0100,130.0600,129.9400,129.9900,38168
2022-02-15 14:20:00,130.0800,130.0800,129.9750,130.0100,34044
2022-02-15 14:15:00,130.0900,130.1450,129.9800,130.0500,48615
